Year,season,roni,season_order
1950,DJF,-1.2,0
1950,JFM,-1.1,1
1950,FMA,-1.0,2
1950,MAM,-1.0,3
1950,AMJ,-1.0,4
1950,MJJ,-0.7,5
1950,JJA,-0.4,6
1950,JAS,-0.3,7
1950,ASO,-0.3,8
1950,SON,-0.4,9
1950,OND,-0.4,10
1950,NDJ,-0.5,11
1951,DJF,-0.3,0
1951,JFM,0.1,1
1951,FMA,0.5,2
1951,MAM,0.6,3
1951,AMJ,0.6,4
1951,MJJ,0.7,5
1951,JJA,0.8,6
1951,JAS,1.0,7
1951,ASO,1.0,8
1951,SON,1.0,9
1951,OND,0.9,10
1951,NDJ,0.7,11
1952,DJF,0.7,0
1952,JFM,0.3,1
1952,FMA,0.5,2
1952,MAM,0.2,3
1952,AMJ,0.0,4
1952,MJJ,-0.4,5
1952,JJA,-0.4,6
1952,JAS,-0.1,7
1952,ASO,0.1,8
1952,SON,0.0,9
1952,OND,-0.1,10
1952,NDJ,0.1,11
1953,DJF,0.4,0
1953,JFM,0.7,1
1953,FMA,0.7,2
1953,MAM,0.7,3
1953,AMJ,0.9,4
1953,MJJ,0.8,5
1953,JJA,0.7,6
1953,JAS,0.7,7
1953,ASO,0.7,8
1953,SON,0.8,9
1953,OND,0.6,10
1953,NDJ,0.7,11
1954,DJF,0.6,0
1954,JFM,0.6,1
1954,FMA,0.3,2
1954,MAM,0.0,3
1954,AMJ,-0.2,4
1954,MJJ,-0.2,5
1954,JJA,-0.4,6
1954,JAS,-0.6,7
1954,ASO,-0.5,8
1954,SON,-0.3,9
1954,OND,-0.1,10
1954,NDJ,-0.2,11
1955,DJF,-0.1,0
1955,JFM,-0.1,1
1955,FMA,-0.1,2
1955,MAM,-0.4,3
1955,AMJ,-0.4,4
1955,MJJ,-0.5,5
1955,JJA,-0.4,6
1955,JAS,-0.7,7
1955,ASO,-0.9,8
1955,SON,-1.3,9
1955,OND,-1.4,10
1955,NDJ,-1.3,11
1956,DJF,-0.8,0
1956,JFM,-0.4,1
1956,FMA,-0.1,2
1956,MAM,-0.1,3
1956,AMJ,0.0,4
1956,MJJ,0.0,5
1956,JJA,-0.1,6
1956,JAS,-0.2,7
1956,ASO,-0.1,8
1956,SON,-0.1,9
1956,OND,-0.1,10
1956,NDJ,-0.2,11
1957,DJF,0.0,0
