Year,DJF,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ
1950,-1.2,-1.1,-1.0,-1.0,-1.0,-0.7,-0.4,-0.3,-0.3,-0.4,-0.4,-0.5
1951,-0.3,0.1,0.5,0.6,0.6,0.7,0.8,1.0,1.0,1.0,0.9,0.7
1952,0.7,0.3,0.5,0.2,0.0,-0.4,-0.4,-0.1,0.1,0.0,-0.1,0.1
1953,0.4,0.7,0.7,0.7,0.9,0.8,0.7,0.7,0.7,0.8,0.6,0.7
1954,0.6,0.6,0.3,0.0,-0.2,-0.2,-0.4,-0.6,-0.5,-0.3,-0.1,-0.2
1955,-0.1,-0.1,-0.1,-0.4,-0.4,-0.5,-0.4,-0.7,-0.9,-1.3,-1.4,-1.3
1956,-0.8,-0.4,-0.1,-0.1,0.0,0.0,-0.1,-0.2,-0.1,-0.1,-0.1,-0.2
1957,0.0,0.2,0.5,0.8,0.9,0.9,1.0,1.1,1.1,1.2,1.5,1.8
1958,1.9,1.8,1.3,1.0,0.7,0.6,0.5,0.3,0.2,0.2,0.4,0.6
1959,0.8,0.8,0.6,0.5,0.3,0.1,-0.1,-0.2,-0.1,0.0,0.2,0.2
1960,0.2,0.2,0.2,0.3,0.2,0.1,0.1,0.2,0.3,0.1,-0.1,-0.1
1961,0.0,0.1,0.0,0.1,0.2,0.3,0.2,-0.1,-0.2,-0.2,-0.1,0.0
1962,0.0,0.0,0.0,-0.2,-0.2,-0.1,0.0,-0.1,-0.1,-0.3,-0.3,-0.4
1963,-0.3,-0.1,0.0,0.1,0.0,0.4,0.7,1.1,1.1,1.1,1.1,1.1
1964,1.0,0.6,0.1,-0.4,-0.7,-0.7,-0.6,-0.5,-0.5,-0.6,-0.6,-0.5
1965,-0.2,0.1,0.2,0.4,0.6,1.0,1.3,1.5,1.8,1.9,2.0,1.8
1966,1.5,1.3,1.0,0.6,0.3,0.2,0.3,0.2,0.0,0.0,-0.1,-0.2
1967,-0.3,-0.2,-0.3,-0.3,-0.1,0.2,0.2,0.0,-0.1,-0.1,0.0,0.0
1968,-0.2,-0.4,-0.3,-0.3,0.1,0.3,0.6,0.5,0.4,0.6,0.7,1.0
1969,1.1,1.0,0.7,0.4,0.4,0.3,0.3,0.3,0.6,0.7,0.8,0.7
1970,0.5,0.2,0.2,0.2,0.1,-0.2,-0.5,-0.6,-0.5,-0.6,-0.5,-0.8
1971,-0.9,-1.0,-0.8,-0.6,-0.5,-0.4,-0.3,-0.2,-0.3,-0.4,-0.4,-0.4
1972,-0.2,0.0,0.3,0.5,0.7,0.9,1.1,1.4,1.6,1.8,2.0,1.9
1973,1.7,1.3,0.6,-0.2,-0.7,-1.0,-1.1,-1.2,-1.3,-1.6,-1.9,-1.9
1974,-1.6,-1.3,-1.0,-0.8,-0.6,-0.5,-0.3,-0.2,-0.2,-0.4,-0.6,-0.3
1975,-0.1,-0.1,-0.3,-0.4,-0.6,-0.7,-0.9,-0.9,-1.0,-0.9,-1.0,-1.1
1976,-1.0,-0.6,-0.3,-0.1,0.0,0.3,0.5,0.7,0.9,1.0,1.1,1.1
1977,1.0,0.9,0.5,0.3,0.3,0.5,0.5,0.5,0.6,0.9,1.1,1.1
1978,1.0,0.7,0.3,-0.1,-0.3,-0.2,-0.3,-0.3,-0.3,-0.1,0.2,0.3
1979,0.3,0.3,0.3,0.2,0.1,0.0,0.0,0.3,0.4,0.5,0.5,0.6
1980,0.7,0.5,0.3,0.1,0.3,0.3,0.1,-0.1,-0.2,-0.1,0.1,0.1
1981,0.0,-0.2,-0.3,-0.2,-0.3,-0.3,-0.2,-0.2,0.0,-0.2,-0.2,-0.1
1982,0.1,0.2,0.2,0.5,0.7,0.8,0.9,1.1,1.6,2.0,2.2,2.4
1983,2.4,2.2,1.7,1.3,0.9,0.5,0.0,-0.2,-0.6,-0.9,-1.1,-1.0
1984,-0.6,-0.5,-0.5,-0.6,-0.6,-0.5,-0.3,-0.2,-0.3,-0.6,-0.9,-0.9
1985,-0.8,-0.7,-0.7,-0.8,-0.8,-0.5,-0.3,-0.2,-0.2,-0.2,-0.1,-0.2
1986,-0.3,-0.3,-0.2,-0.1,-0.1,0.0,0.3,0.6,0.8,1.0,1.2,1.4
1987,1.5,1.4,1.1,0.9,0.8,0.9,1.1,1.3,1.3,1.2,1.0,0.8
1988,0.5,0.1,-0.4,-0.9,-1.5,-1.7,-1.6,-1.4,-1.4,-1.7,-1.9,-1.9
1989,-1.6,-1.4,-1.1,-0.9,-0.6,-0.4,-0.4,-0.4,-0.3,-0.2,-0.1,0.1
1990,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4
1991,0.6,0.5,0.4,0.4,0.6,0.7,0.9,0.8,1.0,1.2,1.7,2.0
1992,2.1,2.1,1.9,1.8,1.4,0.9,0.5,0.3,0.1,0.1,0.1,0.4
1993,0.6,0.7,0.9,1.1,1.0,0.8,0.5,0.5,0.5,0.5,0.4,0.4
1994,0.3,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.8,1.0,1.2,1.3
1995,1.2,0.9,0.6,0.2,-0.1,-0.2,-0.4,-0.6,-0.8,-0.9,-1.0,-1.0
1996,-0.9,-0.7,-0.6,-0.4,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3
1997,-0.2,0.0,0.2,0.5,0.8,1.2,1.5,1.8,2.1,2.2,2.3,2.3
1998,2.1,1.8,1.2,0.8,0.1,-0.5,-1.0,-1.1,-1.2,-1.3,-1.5,-1.6
1999,-1.6,-1.3,-1.0,-0.9,-0.8,-0.8,-0.8,-0.9,-0.9,-1.1,-1.3,-1.6
2000,-1.5,-1.3,-1.1,-0.9,-0.7,-0.5,-0.3,-0.3,-0.4,-0.5,-0.8,-0.8
2001,-0.8,-0.6,-0.5,-0.4,-0.3,-0.1,0.0,0.0,0.0,-0.2,-0.3,-0.3
2002,-0.2,0.0,0.0,0.1,0.2,0.4,0.6,0.8,1.0,1.2,1.3,1.1
2003,0.9,0.5,0.2,-0.2,-0.3,-0.2,0.0,0.1,0.2,0.2,0.3,0.2
2004,0.2,0.1,0.1,0.1,0.2,0.4,0.5,0.7,0.7,0.7,0.7,0.7
2005,0.5,0.4,0.3,0.3,0.2,0.1,-0.1,-0.1,0.0,-0.2,-0.5,-0.8
2006,-0.9,-0.9,-0.7,-0.5,-0.2,0.0,0.1,0.4,0.6,0.7,0.9,0.9
2007,0.6,0.2,-0.1,-0.3,-0.4,-0.4,-0.5,-0.8,-1.0,-1.3,-1.5,-1.6
